#Wewnêtrzna nazwa;Wyœwietlana nazwa
armor_tact_vest;Kamizelka taktyczna
modifier_droid_ability11_1;Modu³ broni bia³ej
modifier_droid_ability11_2;Modu³ szermierki
modifier_droid_ability12_1;Symulator walki
modifier_droid_ability12_2;Modu³ sztuk walki
modifier_droid_ability13_1;Kontrola nawigacji
modifier_droid_ability13_2;Modu³ naprowadzania
modifier_droid_ability14_1;Ulep. sensory optyczne
modifier_droid_ability14_2;Dodatkowe sensory
modifier_droid_ability15_1;Sterownik speederów
modifier_droid_ability15_2;Modu³ wyœcigowy
modifier_droid_ability16_1;Modu³ koordynacji m.k.
modifier_droid_ability16_2;Modu³ ciê¿kich pojazdów
modifier_droid_ability17_1;Modu³ pilota¿u
modifier_droid_ability17_2;Modu³ manewrów lotniczych
modifier_droid_ability18_1;System uzbrojenia
modifier_droid_ability18_2;Komputer celuj¹cy
modifier_droid_ability19_1;Modu³ stabilizuj¹cy
modifier_droid_ability19_2;Sys. uzbrojenia ciê¿kiego
modifier_droid_ability20_1;System œledzenia celu
modifier_droid_ability20_2;System przewidywania
modifier_droid_ability21_1;Modu³ analizy zabezpieczeñ
modifier_droid_ability21_2;Modu³ przeci¹¿enia zab.
modifier_droid_ability22_1;Modu³ analizy systemów
modifier_droid_ability22_2;Modu³ nadpisania systemów
item_other;Inny
;
#Czesci droidów;

#Mózg
droid_brain_assasin;Mózg Droid Zabójca
droid_brain_combat;Mózg Droid Bojowy
droid_brain_engineer;Mózg Droid In¿ynieryjny 
droid_brain_medical;Mózg Droid Medyczny
droid_brain_worker;Mózg Droid Roboczy
droid_brain_protocol;Mózg Droid Protokolarny
droid_brain_pilot;Mózg Droid Pilot
droid_brain_combatpilot;Mózg Droid Pilot Bojowy
droid_brain_astromech;Mózg Droid Astromechaniczny
droid_brain_slicer;Mózg Droid Hakuj¹cy
droid_brain_gunner;Mózg Droid Dzia³onowy

#G³owa
droid_head_small;G³owa droida ma³a
droid_head_medium;G³owa droida œrednia
droid_head_large;G³owa droida du¿a
droid_head_compact;G³owa droida kompaktowa

#Korpus
droid_humanoidchest_small;Korpus droida humanoidalny ma³y
droid_humanoidchest_medium;Korpus droida humanoidalny œredni
droid_humanoidchest_large;Korpus droida humanoidalny du¿y

droid_boxchest_small;Korpus droida skrzyniowy ma³y
droid_boxchest_medium;Korpus droida skrzyniowy œredni
droid_boxchest_large;Korpus droida skrzyniowy du¿y
droid_barrelchest_small;Korpus droida cylindryczny ma³y
droid_barrelchest_medium;Korpus droida cylindryczny œredni
droid_barrelchest_large;Korpus droida cylindryczny du¿y
droid_nonstandardchest_small;Korpus droida niestandardowy ma³y
droid_nonstandardchest_medium;Korpus droida niestandardowy œredni
droid_nonstandardchest_large;Korpus droida niestandardowy du¿y

#Rêce
droid_manipulatorarms_small;Rêce droida manipulacyjne ma³e
droid_manipulatorarms_medium;Rêce droida manipulacyjne œrednie
droid_manipulatorarms_large;Rêce droida manipulacyjne du¿e

droid_functionalarms_multitool;Rêce wielofunkcyjne droida
droid_functionalarms_medical;Rêce medyczne droida
droid_functionalarms_large;Rêce funkcyjne droida du¿e
droid_weaponarms_small;Rêce droida uzbrojone ma³e
droid_weaponarms_medium;Rêce droida uzbrojone œrednie
droid_weaponarms_large;Rêce droida uzbrojone du¿e
droid_heavydutyarms_small;Rêce droida robocze ma³e
droid_heavydutyarms_medium;Rêce droida robocze œrednie
droid_heavydutyarms_large;Rêce droida robocze du¿e

#Napêd
droid_humanoidlegs_small;Nogi droida humanoidalne ma³e
droid_humanoidlegs_medium;Nogi droida humanoidalne œrednie
droid_humanoidlegs_large;Nogi droida humanoidalne du¿e
droid_rollerlegs_small;Napêd g¹sienicowy ma³y
droid_rollerlegs_medium;Napêd g¹sienicowy œredni
droid_rollerlegs_large;Napêd g¹sienicowy du¿y
droid_hoverpad_small;Napêd lewitacyjny ma³y
droid_hoverpad_medium;Napêd lewitacyjny œredni
droid_spiderlegs_small;Nogi pajêcze ma³e
droid_spiderlegs_medium;Nogi pajêcze œrednie
droid_spiderlegs_large;Nogi pajêcze du¿e


#Dodatki-rêce
droid_power_servos;Wzmocnione serwomotory
droid_precision_servos;Precyzyjne serwomotory
droid_hydraulic_servos;Hydrauliczne serwomotory
droid_data_connector;Z³¹cze informatyczne
droid_slicer_spike;Z³¹cze hakuj¹ce
droid_wrist-blaster;Blaster nadgarstkowy
droid_wrist-flamethrower;Nadgarstkowy miotacz ognia
droid_wrist-blade;Ostrze nadgarstkowe

#Dodatki-nogi
droid_overdrive_motors;Przyspieszone serwomotory
droid_magnetized_boots;Magnetyczne buty
droid_momentum_dampeners;T³umiki przeci¹¿eniowe

#Dodatki-korpus
droid_gas_dispenser;Emiter gazu
droid_stabilizer_hooks;Haki stabilizuj¹ce
droid_jet_jumper;Plecak odrzutowy

#Dodatki-g³owa
droid_long_range_antennae;Antena dalekiego zasiêgu
droid_improved_vision_sensors;Ulepszone sensory optyczne
droid_multi_spectrum_sensors;Rozszerzone spekrum sensorów
droid_improved_sound_receivers;Wzmocnienie sensorów dŸwiêkowych

#Rozszerzenia
droid_redundancy_circuits;Obwody redundantne
droid_decentralized_memory_core;Zdencentralizowany rdzeñ
droid_short_circuit_breakers;Zabezpieczenia antyprzepieciowe
droid_advanced_alloy_frame;Zaawansowana rama ze stopów

droid_full_rotation_joints;Obrotowe stawy
droid_recoil_dampening_pistons;T³oki t³umi¹ce
droid_auridium_circuitry;Obwody z Auridium

droid_joint_roller_blockers;Stawy przek³adniowe
droid_strengthened_pistons;Wzmocnione t³oki
droid_high_pressure_tubing;Przewody wysokiego ciœnienia

droid_additional_computing_module;Dodatkowy modu³ obliczeniowy
droid_additional_cognitive_core;Dodatkowy rdzeñ kognitywny
droid_fast_data_processing_module;Uk³ad szybkiego przetwarzania danych

droid_quantum_code_resolver;Kwantowy ³amacz kodów
droid_isolated_decoding_environments;Izolowane œrodowisko dekoduj¹ce
droid_repurposed_slicer_droid_brain;Wydzielony mózg droida hakuj¹cego

droid_isolated_encryption_system;Kodowanie systemu
droid_dispersed_decision_cores;Rozproszony rdzeñ decyzyjny
droid_isolated_command_processing_environment;Izolowane œrodowidko procesów decyzyjnych
droid_supplementary_system_override;Awaryjny system nadrzêdny
droid_hardwired_firewall;Sprzêtowy firewall

#Baterie
droid_small_battery
droid_small_Auridium_battery
droid_small_Nova_crystal_battery
droid_medium_battery
droid_medium_Auridium_battery
droid_medium_Nova_crystal_battery
droid_large_battery
droid_large_Auridium_battery
droid_large_Nova_crystal_battery

;
#Implanty
implant_strength_1;Implant wydajnoœciowy
