ability_survival4;Partyzant;survival 20;Pozwala na tworzenie materia³ów wybuchowych z powszechnie dostêpnych elementów;3
ability_hide1;Zas³ona cienia;conceal 15;+10 do ukrywania siê jeœli postaæ ukrywa siê w miejscu;1
ability_hide2;Ukryte kieszenie;conceal 15;Wykonaj test Zwinnych Palców, aby ukryæ ma³y przedmiot podczas przeszukiwania;1
ability_evade1;Szybki zwód;dodge 15;Po udanym dodgeu postaæ mo¿e przemieœciæ siê do 2 metrów w dowolnym kierunku;1
ability_melee_unarmed1;Rozbrojenie;agility 15, melee_unarmed 10;Wykonaj rzut Przewagi Zwinnoœci aby wytr¹ciæ broñ z r¹k przeciwnika;1
ability_melee_unarmed2;Cios poni¿ej pasa;melee_unarmed 20;Mo¿e próbowaæ zadaæ cios wy³¹czaj¹cy przeciwnika z bójki. Test WW, 2+ sukcesów: Obrona: trudny dodge. Powalenie i og³uszenie. Mniej ni¿ 2 sukcesy: 0 Obr.;1
ability_armed1;Celowane ciêcie;melee_armed 15;,Pozwala wykonaæ celowane ciêcie, z modyfikatorem 10 aby uzyskaæ 1PP;1
ability_armed2;Zas³ona z ostrzy;melee_armed 20;Pozwala na dodatkowe parowanie w rundzie;2
ability_influence1;Autorytet;influence 20;Pozwala zastraszaæ z u¿yciem Charyzmy zamiast Si³y;2
ability_influence2;Pod w³os;influence 20;Pozwala zastraszaæ z u¿yciem Inteligencji zamiast Si³y;2
ability_influence3;Filtrowanie informacji;influence 15;Pozwala plotkowaæ z u¿yciem Inteligencji zamiast Charyzmy;1
ability_influence4;M¹dre s³ówka;influence 15;Pozwala przekonywaæ z u¿yciem Inteligencji zamiast Charyzmy;1
ability_influence5;Don¿uan/Femme Fatale;charisma 15;+10 do rzutów Charyzmy przy oddzia³ywaniu z osobnikiem przeciwnej  p³ci (Rasa musi byæ zbie¿na);1
ability_persistence1;Nieugiêty;persistence 15;+10 do rzutów na odpornoœæ na interrogation;1
ability_persistence2;Nieczu³y;persistence 10;Postaæ nie musi rzucaæ na persistence przy codziennych okropnoœciach;1
ability_persistence3;Silny umys³;persistence 20;+20 do rzutów odpornoœci na Moce umys³u;2
ability_resistence1;Mocna g³owa;resistance 15;+20 do Twardoœci podczas testów wytrzyma³oœci podczas spo¿ywania alkoholu lub narkotyków;2
ability_security1;Znajomoœæ systemu;security 10;Postaæ otrzymuje +10 do prze³amywania konkretnego systemu zabezpieczeñ;1
ability_security2;Szybki uczeñ;security 15;Determinacja daje +20 do ponownego podejœcia zamiast +10;1
ability_security3;Ostro¿ne podejœcie;security 15;Alarm systemu zostanie wszczêty przy 5 pora¿kach zamiast 4;2
ability_security4;K³ody pod nogi;security 20;Jeœli postaæ ma dostêp do systemu, mo¿e wykonaæ trudny test zabezpieczeñ w celu utrudnienia dostêpu innym u¿ytkownikom (modyfikator -30);2
ability_security5;Mistrz hakowania;security 30;Pozwala postaci na przejêcie systemów wroga (ochrona, drzwi i inne);3
ability_security6;Szybkie palce;security 25;Jeœli inna postaæ przeciwdzia³a postaci w hakowaniu, otrzymuje ona modyfikator -20 do przewagi zabezpieczeñ;2
ability_security7;Archaiczne zamki;security 15, ability_dexterity3;Pozwala postaci na próbê otwarcia zamków mechanicznych, przy dodatkowym modyfikatorze +10;2
ability_dexterity1;Na cztery ³apy;dexterity 15;Pozwala na upadek z  wy¿szych wysokoœci bez utraty punktów ¿ycia;1
ability_dexterity2;Rakietowiec;agility 15, dexterity 15;Pozwala na u¿ycie plecaków rakietowych;2
ability_dexterity3;Zwinne palce;agility 20;Pozwala postaci na wykonywanie szybkich, zwinnych ruchów z u¿yciem r¹k;1
ability_dexterity4;Niechciany prezent;ability_dexterity1;+10 jeœli postaæ próbuje podrzuciæ komuœ ma³y przedmiot;1
ability_willpower1;¯elazna wola;willpower 25;Pozwala na przerzut testów opartych na Sile Woli;2
ability_general1;Bombowy goœæ;;+10 do testów podczas pracy z materia³ami wybuchowymi;1
ability_general2;Bieg³oœæ: He³my bojowe;;Pozwala na u¿ywanie he³mów z interfejsem bitewnym;1
